type,name,page,image_path,csv_path,path,caption,image,points_csv,parameter,value,text_evidence
parameter,,3.0,,,,,,,time,3 | H,"ranes Compound Ki±SEM(nM) Selectivity CLogP12 l([3H]DAMGO) d([3H]Naltindole) j([3H]U69,593) l/d/j 15a(levorphanol) 0.21±0.017 4.2±0.45 2.3±0.26 1/20/11 3.5 24 6.7"
parameter,,3.0,,,,,,,time,6 | H,"ni,S.;Kometani,T.;Iitaka,Y.;Itai,A.J.Med.Chem.1978,21,153;(b) 4c R = 4-(CH 3 )C 6 H 4 CH(CH 3 )- 5c. R = C 6 H 5 CH 2 - Portoghese,P.S.J.Med.Chem.1965,8,609. 4d R "
parameter,,3.0,,,,,,,time,6 | H,";Itai,A.J.Med.Chem.1978,21,153;(b) 4c R = 4-(CH 3 )C 6 H 4 CH(CH 3 )- 5c. R = C 6 H 5 CH 2 - Portoghese,P.S.J.Med.Chem.1965,8,609. 4d R = C H OCH - 5d. R = C H CH "
parameter,,3.0,,,,,,,time,6 | H,"uura,K.;Yamaguchi,K.;Sakai,S.;Mitsuhashi,K.Chem.Pharm.Bull.1983, 4f R = 4-MeO-C 6 H 4 CH 2 - 5f. R = 4-NH 2 -C 6 H 4 - 31,1518. 4. Wentland,M.P.;VanAlstine,M.;Kuce"
parameter,,3.0,,,,,,,time,6 | H,"itsuhashi,K.Chem.Pharm.Bull.1983, 4f R = 4-MeO-C 6 H 4 CH 2 - 5f. R = 4-NH 2 -C 6 H 4 - 31,1518. 4. Wentland,M.P.;VanAlstine,M.;Kucejko,R.;Lou,R.;Cohen,D.J.;Parkhi"
parameter,,3.0,,,,,,,time,0 | s,"riethylamine)gave99mg(89%yield)ofthepureester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H"
parameter,,3.0,,,,,,,time,6 | H,"89%yield)ofthepureester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 ."
parameter,,3.0,,,,,,,time,4 | H,"reester4dasa 4 c 1 o H l ) o , rl 7 e . s 0 s 5 o – i 6 l. .9 1 6 H ( N m M , R 4H (C ), D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 . 6 3 – H 7 z .3"
parameter,,3.0,,,,,,,time,1 | H,", D 6 C . l 8 3, 9 3 ( 0 d 0 d M , J H = z) 2. d 6, 7. 8 3 . 6 3 – H 7 z .3 , 0 1H (m ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3"
parameter,,3.0,,,,,,,time,3 | H,"6 3 – H 7 z .3 , 0 1H (m ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),"
parameter,,3.0,,,,,,,time,1 | H," ), , 4 2 . H 87 ),7 (s .1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2"
parameter,,3.0,,,,,,,time,1 | H,".1 , 2 (d H , ) J , = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H)"
parameter,,3.0,,,,,,,time,1 | H," = 3 8 .0 .3 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H)"
parameter,,3.0,,,,,,,time,3 | H," 3 H (d z, , 3b J=18.3Hz,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13"
parameter,,3.0,,,,,,,time,1 | H,"z,1H),2.74,(dd,J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,7"
parameter,,3.0,,,,,,,time,9 | H,",J=6.6,18Hz,1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,15"
parameter,,3.0,,,,,,,time,2 | H,",1H),2.62(d,J=5.7Hz,1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, "
parameter,,3.0,,,,,,,time,5 | H,",1H),2.47(m, 3H),2.34(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, 7 8 9 10 11 143.2,1"
parameter,,3.0,,,,,,,time,1 | H,"4(dd,J=2,11.7Hz,1H)2.14–1.8(m,9H),1.67(m,2H),1.52–1.37(m, 3 5H),0.98(d,J=13.2Hz,1H);13CNMR(CDCl3,75MHz)d167.7,157.7,148.7, 7 8 9 10 11 143.2,134.3,129.6,128.4,122"
